,0,1
0,0,0.042
1,1,0.057
2,2,0.095
3,3,0.111
4,4,0.124
5,5,0.163
6,6,0.179
7,7,0.194
8,8,0.234
9,9,0.273
10,10,0.311
11,11,0.326
12,12,0.341
13,13,0.377
14,14,0.393
15,15,0.407
16,16,0.421
17,17,0.46
18,18,0.477
19,19,0.517
20,20,0.557
21,21,0.601
22,22,0.616
23,23,0.631
24,24,0.647
25,25,0.689
26,26,0.783
27,27,0.8
28,28,0.842
29,29,0.856
30,30,0.873
31,31,0.888
32,32,0.928
33,33,0.943
34,34,0.982
35,35,1.018
36,36,1.058
37,37,1.074
38,38,1.111
39,39,1.148
40,40,1.162
41,41,1.27
42,42,1.311
43,43,1.328
44,44,1.345
45,45,1.385
46,46,1.423
47,47,1.463
48,48,1.478
49,49,1.57
50,50,1.586
51,51,1.602
52,52,1.641
53,53,1.684
54,54,1.7
55,55,1.739
56,56,1.777
57,57,1.817
58,58,1.897
59,59,1.935
60,60,1.95
61,61,1.99
62,62,2.029
63,63,2.069
64,64,2.106
65,65,2.145
66,66,2.184
67,67,2.199
68,68,2.213
69,69,2.249
70,70,2.265
71,71,2.282
72,72,2.324
73,73,2.364
74,74,2.406
75,75,2.423
76,76,2.46
77,77,2.473
78,78,2.489
79,79,2.532
80,80,2.572
81,81,2.612
82,82,2.627
83,83,2.641
84,84,2.679
85,85,2.721
86,86,2.76
87,87,2.798
88,88,2.813
89,89,2.853
90,90,2.891
91,91,2.906
92,92,2.98
93,93,2.995
94,94,3.035
95,95,3.051
96,96,3.092
97,97,3.13
98,98,3.168
99,99,3.209
100,100,3.25
101,101,3.265
102,102,3.281
103,103,3.297
104,104,3.313
105,105,3.351
106,106,3.387
107,107,3.401
108,108,3.415
109,109,3.608
110,110,3.649
111,111,3.686
112,112,3.704
113,113,3.742
114,114,3.781
115,115,3.823
116,116,3.838
117,117,3.874
118,118,3.889
119,119,3.904
120,120,3.942
121,121,4.035
122,122,4.075
123,123,4.089
124,124,4.128
125,125,4.144
126,126,4.157
127,127,4.171
128,128,4.185
129,129,4.322
130,130,4.339
131,131,4.457
132,132,4.471
133,133,4.511
134,134,4.528
135,135,4.543
136,136,4.583
137,137,4.623
138,138,4.662
139,139,4.677
140,140,4.691
141,141,4.73
142,142,4.767
143,143,4.782
144,144,4.798
145,145,4.834
146,146,4.85
147,147,4.864
148,148,4.902
149,149,4.966
150,150,4.979
151,151,5.069
152,152,5.108
153,153,5.122
154,154,5.137
155,155,5.153
156,156,5.193
157,157,5.23
158,158,5.244
159,159,5.284
160,160,5.302
161,161,5.344
162,162,5.387
163,163,5.477
164,164,5.54
165,165,5.578
166,166,5.671
167,167,5.686
168,168,5.7
169,169,5.802
170,170,5.841
171,171,5.927
172,172,6.011
173,173,6.051
174,174,6.067
175,175,6.105
176,176,6.18
177,177,6.22
178,178,6.26
179,179,6.275
180,180,6.314
181,181,6.38
182,182,6.419
183,183,6.432
184,184,6.51
185,185,6.548
186,186,6.563
187,187,6.576
188,188,6.589
189,189,6.605
190,190,6.642
191,191,6.682
192,192,6.698
193,193,6.737
194,194,6.798
195,195,6.864
196,196,6.941
197,197,6.982
198,198,7.052
199,199,7.067
200,200,7.134
201,201,7.17
202,202,7.185
203,203,7.199
204,204,7.212
205,205,7.253
206,206,7.269
207,207,7.31
208,208,7.325
209,209,7.363
210,210,7.378
211,211,7.419
212,212,7.517
213,213,7.559
214,214,7.601
215,215,7.616
216,216,7.631
217,217,7.645
218,218,7.66
219,219,7.676
220,220,7.689
221,221,7.702
222,222,7.716
223,223,7.73
224,224,7.77
225,225,7.784
226,226,7.822
227,227,7.84
228,228,7.856
229,229,7.872
230,230,7.885
231,231,7.924
232,232,8.065
233,233,8.103
234,234,8.118
235,235,8.19
236,236,8.208
237,237,8.246
238,238,8.284
239,239,8.324
240,240,8.365
241,241,8.38
242,242,8.478
243,243,8.571
244,244,8.629
245,245,8.666
246,246,8.684
247,247,8.7
248,248,8.738
249,249,8.775
250,250,8.815
251,251,8.854
252,252,8.89
253,253,8.907
254,254,8.923
255,255,8.937
256,256,8.975
257,257,9.013
258,258,9.03
259,259,9.205
260,260,9.22
261,261,9.237
262,262,9.253
263,263,9.27
264,264,9.398
265,265,9.502
266,266,9.542
267,267,9.582
268,268,9.598
269,269,9.639
270,270,9.677
271,271,9.691
272,272,9.732
273,273,9.747
274,274,9.846
275,275,9.886
276,276,9.927
277,277,10.006
278,278,10.191
279,279,10.206
280,280,10.22
281,281,10.287
282,282,10.303
283,283,10.394
284,284,10.41
285,285,10.486
286,286,10.549
287,287,10.565
288,288,10.601
289,289,10.638
290,290,10.652
291,291,10.714
292,292,10.755
293,293,10.772
294,294,10.808
295,295,10.822
296,296,10.837
297,297,10.88
298,298,10.895
299,299,10.91
300,300,10.973
301,301,10.989
302,302,11.029
303,303,11.044
304,304,11.084
